File name:,NGADG0017.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact:,"Jianqiu Zheng (zhengj@ornl.gov), David Graham (grahamde@ornl.gov)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Modified:,2018-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Modified By:,Jianqiu Zheng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGEE Arctic Dataset DOI:,https://doi.org/10.5440/1440029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cite Dataset As:,"Jianqiu Zheng, Taniya RoyChowdhury, Elizabeth Herndon, Ziming Yang, Baohua Gu, Stan Wullschleger, David Graham. 2018. Synthesis of Soil Geochemical Characteristics and Organic Carbon Degradation from Arctic Polygon Tundra, Barrow, Alaska. Next Generation Ecosystem Experiments Arctic Data Collection, Oak Ridge National Laboratory, U.S. Department of Energy, Oak Ridge, Tennessee, USA. Dataset accessed on [insert_date] at https://doi.org/10.5440/1440029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGADG0017,Organic,LCP,Center,0,22,9.62,38.3,23,Anoxic,4,2,29.2,-9999,-9999,29,-9999,-9999,20.5,-9999,-9999,0.957,-9999,-9999,0.859,-9999,-9999,0.834,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0017,Organic,LCP,Center,0,22,9.62,38.3,23,Anoxic,4,3,39.5,-9999,-9999,39.8,-9999,-9999,28.2,-9999,-9999,1.84,-9999,-9999,1.64,-9999,-9999,1.43,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0017,Organic,LCP,Center,0,22,9.62,38.3,23,Anoxic,4,5,84.8,-9999,-9999,75.1,-9999,-9999,62.1,-9999,-9999,4.1,-9999,-9999,2.87,-9999,-9999,2.26,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0017,Organic,LCP,Center,0,22,9.62,38.3,23,Anoxic,4,7,141,-9999,-9999,158,-9999,-9999,136,-9999,-9999,14.7,-9999,-9999,13.9,-9999,-9999,6.47,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0017,Organic,LCP,Center,0,22,9.62,38.3,23,Anoxic,4,9,167,-9999,-9999,183,-9999,-9999,153,-9999,-9999,20,-9999,-9999,20.4,-9999,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0017,Organic,LCP,Center,0,22,9.62,38.3,23,Anoxic,4,11,167,-9999,-9999,192,-9999,-9999,157,-9999,-9999,22.6,-9999,-9999,22.8,-9999,-9999,13,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0017,Organic,LCP,Center,0,22,9.62,38.3,23,Anoxic,4,13,170,-9999,-9999,193,-9999,-9999,162,-9999,-9999,23.9,-9999,-9999,23.9,-9999,-9999,14.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,89.3,5.09
NGADG0017,Organic,LCP,Center,0,22,9.62,38.3,23,Anoxic,4,21,175,-9999,-9999,193,-9999,-9999,162,-9999,-9999,42.5,-9999,-9999,43.9,-9999,-9999,28.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0017,Organic,LCP,Center,0,22,9.62,38.3,23,Anoxic,4,26,178,-9999,-9999,200,-9999,-9999,163,-9999,-9999,45.9,-9999,-9999,50,-9999,-9999,31.8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0017,Organic,LCP,Center,0,22,9.62,38.3,23,Anoxic,4,31,170,-9999,-9999,198,-9999,-9999,163,-9999,-9999,46.1,-9999,-9999,50.2,-9999,-9999,32.3,-9999,-9999,724,283,2.11,87.62,12.84,16.7,154.8,5.31
NGADG0017,Organic,LCP,Center,0,22,9.62,38.3,23,Anoxic,4,35,174,-9999,-9999,200,-9999,-9999,163,-9999,-9999,46.6,-9999,-9999,52.1,-9999,-9999,33.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0017,Organic,LCP,Center,0,22,9.62,38.3,23,Anoxic,4,42,242,-9999,-9999,258,-9999,-9999,217,-9999,-9999,48.7,-9999,-9999,54.9,-9999,-9999,33.8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0017,Organic,LCP,Center,0,22,9.62,38.3,23,Anoxic,4,49,246,-9999,-9999,264,-9999,-9999,219,-9999,-9999,61,-9999,-9999,63,-9999,-9999,39.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0017,Organic,LCP,Center,0,22,9.62,38.3,23,Anoxic,4,56,231,-9999,-9999,246,-9999,-9999,208,-9999,-9999,61.4,-9999,-9999,64.8,-9999,-9999,41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0017,Organic,LCP,Center,0,22,9.62,38.3,23,Anoxic,4,62,292,-9999,-9999,311,-9999,-9999,261,-9999,-9999,58.1,-9999,-9999,58.3,-9999,-9999,39.1,-9999,-9999,579,251,2.19,75.97,13.44,14.21,159.7,5.42
NGADG0017,Organic,LCP,Center,0,22,9.62,38.3,23,Anoxic,8,0,-9999,35.41,Hyperbolic,-9999,51.59,Hyperbolic,-9999,57.6,Hyperbolic,-9999,4.22,hypobolic,-9999,4.01,hypobolic,-9999,3.32,hypobolic,565,122,18.61,50.59,0.87,0,7.59,5.02
NGADG0017,Organic,LCP,Center,0,22,9.62,38.3,23,Anoxic,8,2,37.5,-9999,-9999,49.1,-9999,-9999,38.2,-9999,-9999,3.86,-9999,-9999,2.07,-9999,-9999,0.994,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0017,Organic,LCP,Center,0,22,9.62,38.3,23,Anoxic,8,3,64.8,-9999,-9999,86.6,-9999,-9999,83.7,-9999,-9999,9.09,-9999,-9999,8.05,-9999,-9999,3.84,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0017,Organic,LCP,Center,0,22,9.62,38.3,23,Anoxic,8,5,119,-9999,-9999,165,-9999,-9999,185,-9999,-9999,10.8,-9999,-9999,12.2,-9999,-9999,7.81,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0017,Organic,LCP,Center,0,22,9.62,38.3,23,Anoxic,8,7,157,-9999,-9999,209,-9999,-9999,224,-9999,-9999,20.6,-9999,-9999,22.5,-9999,-9999,17.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0017,Organic,LCP,Center,0,22,9.62,38.3,23,Anoxic,8,9,164,-9999,-9999,220,-9999,-9999,228,-9999,-9999,24,-9999,-9999,27.4,-9999,-9999,22.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0017,Organic,LCP,Center,0,22,9.62,38.3,23,Anoxic,8,11,169,-9999,-9999,225,-9999,-9999,231,-9999,-9999,31.4,-9999,-9999,27.6,-9999,-9999,25.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0017,Organic,LCP,Center,0,22,9.62,38.3,23,Anoxic,8,13,216,-9999,-9999,227,-9999,-9999,254,-9999,-9999,31.4,-9999,-9999,30.4,-9999,-9999,26.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,89.3,5.09
NGADG0017,Organic,LCP,Center,0,22,9.62,38.3,23,Anoxic,8,21,209,-9999,-9999,223,-9999,-9999,250,-9999,-9999,48.9,-9999,-9999,60,-9999,-9999,52.4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0017,Organic,LCP,Center,0,22,9.62,38.3,23,Anoxic,8,26,248,-9999,-9999,239,-9999,-9999,257,-9999,-9999,69.6,-9999,-9999,64,-9999,-9999,57.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0017,Organic,LCP,Center,0,22,9.62,38.3,23,Anoxic,8,31,193,-9999,-9999,245,-9999,-9999,249,-9999,-9999,69.8,-9999,-9999,68.6,-9999,-9999,59,-9999,-9999,724,283,2.11,87.62,12.84,16.7,154.8,5.31
NGADG0017,Organic,LCP,Center,0,22,9.62,38.3,23,Anoxic,8,35,193,-9999,-9999,246,-9999,-9999,251,-9999,-9999,70.8,-9999,-9999,69.7,-9999,-9999,61.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0017,Organic,LCP,Center,0,22,9.62,38.3,23,Anoxic,8,42,248,-9999,-9999,300,-9999,-9999,329,-9999,-9999,71.1,-9999,-9999,70.3,-9999,-9999,62.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0017,Organic,LCP,Center,0,22,9.62,38.3,23,Anoxic,8,49,304,-9999,-9999,305,-9999,-9999,331,-9999,-9999,85,-9999,-9999,82.4,-9999,-9999,74.6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0017,Organic,LCP,Center,0,22,9.62,38.3,23,Anoxic,8,56,249,-9999,-9999,293,-9999,-9999,313,-9999,-9999,67.5,-9999,-9999,77.1,-9999,-9999,70,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0017,Organic,LCP,Center,0,22,9.62,38.3,23,Anoxic,8,62,315,-9999,-9999,377,-9999,-9999,338,-9999,-9999,68.8,-9999,-9999,79.7,-9999,-9999,69.3,-9999,-9999,579,251,2.19,75.97,13.44,14.21,159.7,5.42
NGADG0017,Mineral,LCP,Center,22,54,0.64,14.65,23,Anoxic,-2,0,-9999,0.75,Hyperbolic,-9999,0.59,Hyperbolic,-9999,0.57,Hyperbolic,-9999,0.0083,linear,-9999,0.0082,linear,-9999,0.0075,linear,254,4,0.19,1.7,0.07,0,14.23,4.84
NGADG0017,Mineral,LCP,Center,22,54,0.64,14.65,23,Anoxic,-2,2,0,-9999,-9999,0,-9999,-9999,0,-9999,-9999,0,-9999,-9999,0,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0017,Mineral,LCP,Center,22,54,0.64,14.65,23,Anoxic,-2,3,2.5,-9999,-9999,2.06,-9999,-9999,2.1,-9999,-9999,0.158,-9999,-9999,0.0825,-9999,-9999,0.0722,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0017,Mineral,LCP,Center,22,54,0.64,14.65,23,Anoxic,-2,5,3.48,-9999,-9999,3.04,-9999,-9999,2.66,-9999,-9999,0.159,-9999,-9999,0.0699,-9999,-9999,0.0724,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0017,Mineral,LCP,Center,22,54,0.64,14.65,23,Anoxic,-2,7,3.61,-9999,-9999,3.12,-9999,-9999,3.04,-9999,-9999,0.126,-9999,-9999,0.126,-9999,-9999,0.124,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0017,Mineral,LCP,Center,22,54,0.64,14.65,23,Anoxic,-2,9,3.64,-9999,-9999,3.16,-9999,-9999,3.56,-9999,-9999,0.264,-9999,-9999,0.184,-9999,-9999,0.193,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0017,Mineral,LCP,Center,22,54,0.64,14.65,23,Anoxic,-2,11,3.84,-9999,-9999,3.37,-9999,-9999,3.74,-9999,-9999,0.288,-9999,-9999,0.244,-9999,-9999,0.251,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0017,Mineral,LCP,Center,22,54,0.64,14.65,23,Anoxic,-2,13,3.83,-9999,-9999,3.6,-9999,-9999,3.82,-9999,-9999,0.334,-9999,-9999,0.282,-9999,-9999,0.289,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,24.6,4.88
NGADG0017,Mineral,LCP,Center,22,54,0.64,14.65,23,Anoxic,-2,21,3.89,-9999,-9999,3.78,-9999,-9999,3.91,-9999,-9999,0.312,-9999,-9999,0.3,-9999,-9999,0.306,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0017,Mineral,LCP,Center,22,54,0.64,14.65,23,Anoxic,-2,26,4.07,-9999,-9999,3.93,-9999,-9999,4.15,-9999,-9999,0.396,-9999,-9999,0.337,-9999,-9999,0.346,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0017,Mineral,LCP,Center,22,54,0.64,14.65,23,Anoxic,-2,31,4.29,-9999,-9999,4,-9999,-9999,4.46,-9999,-9999,0.441,-9999,-9999,0.358,-9999,-9999,0.368,-9999,-9999,259,12,0.2,4.25,0.95,0,36.7,5.89
NGADG0017,Mineral,LCP,Center,22,54,0.64,14.65,23,Anoxic,-2,35,4.34,-9999,-9999,4.04,-9999,-9999,4.5,-9999,-9999,0.458,-9999,-9999,0.408,-9999,-9999,0.381,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0017,Mineral,LCP,Center,22,54,0.64,14.65,23,Anoxic,-2,42,5.36,-9999,-9999,5.4,-9999,-9999,5.76,-9999,-9999,0.401,-9999,-9999,0.37,-9999,-9999,0.339,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0017,Mineral,LCP,Center,22,54,0.64,14.65,23,Anoxic,-2,49,6.14,-9999,-9999,5.74,-9999,-9999,5.78,-9999,-9999,0.486,-9999,-9999,0.434,-9999,-9999,0.397,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0017,Mineral,LCP,Center,22,54,0.64,14.65,23,Anoxic,-2,56,6.13,-9999,-9999,5.66,-9999,-9999,6.19,-9999,-9999,0.29,-9999,-9999,0.155,-9999,-9999,0.164,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0017,Mineral,LCP,Center,22,54,0.64,14.65,23,Anoxic,-2,62,7.87,-9999,-9999,7.43,-9999,-9999,7.99,-9999,-9999,0.313,-9999,-9999,0.174,-9999,-9999,0.293,-9999,-9999,223,0,0.03,0.03,0.1,0,54,6.1
NGADG0017,Mineral,LCP,Center,22,54,0.64,14.65,23,Anoxic,4,0,-9999,0.44,Hyperbolic,-9999,0.54,Hyperbolic,-9999,1.48,Hyperbolic,-9999,0.0104,linear,-9999,0.0075,linear,-9999,0.0061,linear,254,4,0.19,1.7,0.07,0,14.23,4.84
NGADG0017,Mineral,LCP,Center,22,54,0.64,14.65,23,Anoxic,4,2,2.37,-9999,-9999,1.76,-9999,-9999,5.27,-9999,-9999,0,-9999,-9999,0.0961,-9999,-9999,0.129,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0017,Mineral,LCP,Center,22,54,0.64,14.65,23,Anoxic,4,3,2.09,-9999,-9999,2.01,-9999,-9999,4,-9999,-9999,0.114,-9999,-9999,0.116,-9999,-9999,0.142,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0017,Mineral,LCP,Center,22,54,0.64,14.65,23,Anoxic,4,5,2.85,-9999,-9999,2.21,-9999,-9999,6.33,-9999,-9999,0.133,-9999,-9999,0.133,-9999,-9999,0.143,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0017,Mineral,LCP,Center,22,54,0.64,14.65,23,Anoxic,4,7,3.73,-9999,-9999,4.26,-9999,-9999,8.06,-9999,-9999,0.153,-9999,-9999,0.134,-9999,-9999,0.128,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0017,Mineral,LCP,Center,22,54,0.64,14.65,23,Anoxic,4,9,4.41,-9999,-9999,4.67,-9999,-9999,8.59,-9999,-9999,0.161,-9999,-9999,0.179,-9999,-9999,0.141,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0017,Mineral,LCP,Center,22,54,0.64,14.65,23,Anoxic,4,11,4.58,-9999,-9999,5.22,-9999,-9999,9.1,-9999,-9999,0.196,-9999,-9999,0.19,-9999,-9999,0.185,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0017,Mineral,LCP,Center,22,54,0.64,14.65,23,Anoxic,4,13,4.92,-9999,-9999,6.29,-9999,-9999,10.4,-9999,-9999,0.205,-9999,-9999,0.212,-9999,-9999,0.241,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,19.6,4.9
NGADG0017,Mineral,LCP,Center,22,54,0.64,14.65,23,Anoxic,4,21,6.14,-9999,-9999,7.38,-9999,-9999,11.3,-9999,-9999,0.352,-9999,-9999,0.336,-9999,-9999,0.241,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0017,Mineral,LCP,Center,22,54,0.64,14.65,23,Anoxic,4,26,7.95,-9999,-9999,8.07,-9999,-9999,12.3,-9999,-9999,0.464,-9999,-9999,0.394,-9999,-9999,0.323,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0017,Mineral,LCP,Center,22,54,0.64,14.65,23,Anoxic,4,31,8.18,-9999,-9999,8.01,-9999,-9999,12.1,-9999,-9999,0.485,-9999,-9999,0.42,-9999,-9999,0.357,-9999,-9999,266,10,0.2,3.54,1.05,0,48.4,5.74
NGADG0017,Mineral,LCP,Center,22,54,0.64,14.65,23,Anoxic,4,35,8.68,-9999,-9999,8.74,-9999,-9999,12.4,-9999,-9999,0.52,-9999,-9999,0.452,-9999,-9999,0.421,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0017,Mineral,LCP,Center,22,54,0.64,14.65,23,Anoxic,4,42,11.6,-9999,-9999,11.5,-9999,-9999,17,-9999,-9999,0.472,-9999,-9999,0.421,-9999,-9999,0.394,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0017,Mineral,LCP,Center,22,54,0.64,14.65,23,Anoxic,4,49,12.5,-9999,-9999,12.4,-9999,-9999,17.4,-9999,-9999,0.571,-9999,-9999,0.492,-9999,-9999,0.408,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0017,Mineral,LCP,Center,22,54,0.64,14.65,23,Anoxic,4,56,11.9,-9999,-9999,12.4,-9999,-9999,16.3,-9999,-9999,0.603,-9999,-9999,0.507,-9999,-9999,0.425,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0017,Mineral,LCP,Center,22,54,0.64,14.65,23,Anoxic,4,62,15.8,-9999,-9999,15.3,-9999,-9999,20.9,-9999,-9999,0.7,-9999,-9999,0.507,-9999,-9999,0.466,-9999,-9999,289,0,0.03,0.06,0.1,0,198.3,5.81
NGADG0017,Mineral,LCP,Center,22,54,0.64,14.65,23,Anoxic,8,0,-9999,1.6,Hyperbolic,-9999,1.3,Hyperbolic,-9999,1.28,Hyperbolic,-9999,0.0472,linear,-9999,0.041,linear,-9999,0.0493,linear,254,4,0.19,1.7,0.07,0,14.23,4.84
NGADG0017,Mineral,LCP,Center,22,54,0.64,14.65,23,Anoxic,8,2,4.7,-9999,-9999,3.2,-9999,-9999,2.84,-9999,-9999,0.137,-9999,-9999,0.0455,-9999,-9999,0.0674,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0017,Mineral,LCP,Center,22,54,0.64,14.65,23,Anoxic,8,3,5.42,-9999,-9999,4.03,-9999,-9999,3.7,-9999,-9999,0.197,-9999,-9999,0.143,-9999,-9999,0.138,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0017,Mineral,LCP,Center,22,54,0.64,14.65,23,Anoxic,8,5,6.78,-9999,-9999,5.87,-9999,-9999,6.93,-9999,-9999,0.213,-9999,-9999,0.154,-9999,-9999,0.157,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
