"Year","Sample","Temp_range","Temp_flag","moisture","moisture_units","moisture_flag","R10","Q10","Q10_flag","Species","Latitude","Longitude","lat_lon_notes","Manipulation","Ecosystem_type_old","Ecosystem_type","Biome","Source","Incubation","Duplicate_record","notes","notes2","notes_data_location","StudyName","DOI","Meas_method","Horizon","Depth_cm","Vegetation","notes3","MAT_C","MMT_C","MAP_mm","...35","Texture","...37","time_days","Elevation_m","...40","...41","corg","norg","clay","ph"
,"CA2","10_30",,"35","percent WHC",,,4.1,,"CO2","36.05_N","111.77_W",,,"NA","NA","NA","Fierer2006","lab",,,"Cedar Mtn., AZ USA","Table1","Fierer2006","https://doi.org/10.1029/2005GB002644","LICOR","mineral","0 to 5","Juniperus monosperma",,"10.3","15","400","2.2","silt loam","8","0.5","2003",,,,,,
,"CC1","10_30",,"35","percent WHC",,,2.6,,"CO2","45.4_N","93.2_W",,,"NA","NA","NA","Fierer2006","lab",,,"Cedar Creek LTER, MN USA","Table1","Fierer2006","https://doi.org/10.1029/2005GB002644","LICOR","mineral","0 to 5","Carex muhlenbergii, Andropogon gerardii, Poa pratensis,Schizachyrium scoparium",,"5.8","18","720","1.9","sand","6.1","2","110",,,,,,
,"CF1","10_30",,"35","percent WHC",,,3.2,,"CO2","42.17_N","74.26_W",,,"NA","NA","NA","Fierer2006","lab",,,"Catskills, NY USA","Table1","Fierer2006","https://doi.org/10.1029/2005GB002644","LICOR","mineral","0 to 5","Acer saccharum, Fagus grandifolia, Acer rubrum",,"5.3","16","1300","2.6","loam","3.9","0.6","800",,,,,,
,"CF2","10_30",,"35","percent WHC",,,3.1,,"CO2","41.93_N","74.35_W",,,"NA","NA","NA","Fierer2006","lab",,,"Catskills, NY USA","Table1","Fierer2006","https://doi.org/10.1029/2005GB002644","LICOR","mineral","0 to 5","Fagus grandifolia, Betula alleghaniensis, Acer saccharum",,"5.3","16","1300","4.1","sandy loam","3.6","0.6","800",,,,,,
,"CF3","10_30",,"35","percent WHC",,,3.5,,"CO2","42.12_N","74.1_W",,,"NA","NA","NA","Fierer2006","lab",,,"Catskills, NY USA","Table1","Fierer2006","https://doi.org/10.1029/2005GB002644","LICOR","mineral","0 to 5","Tsuga canadensis",,"5.3","16","1300","4.3","silt loam","3.6","0.4","800",,,,,,
,"CL1","10_30",,"35","percent WHC",,,2.6,,"CO2","34.62_N","81.67_W",,,"NA","NA","NA","Fierer2006","lab",,,"Calhoun Experimental Forest, SC USA","Table1","Fierer2006","https://doi.org/10.1029/2005GB002644","LICOR","mineral","0 to 5","Quercus spp., Carya spp., Acer rubrum",,"15.9","22","1250","2.3","sandy loam","5.7","3","150",,,,,,
,"CL2","10_30",,"35","percent WHC",,,3,,"CO2","34.62_N","81.67_W",,,"NA","NA","NA","Fierer2006","lab",,,"Calhoun Experimental Forest, SC USA","Table1","Fierer2006","https://doi.org/10.1029/2005GB002644","LICOR","mineral","0 to 5","Bromus spp.",,"15.9","22","1250","2.3","sandy loam","5.6","1.9","150",,,,,,
,"CL3","10_30",,"35","percent WHC",,,2.7,,"CO2","34.62_N","81.67_W",,,"NA","NA","NA","Fierer2006","lab",,,"Calhoun Experimental Forest, SC USA","Table1","Fierer2006","https://doi.org/10.1029/2005GB002644","LICOR","mineral","0 to 5","Pinus taeda",,"15.9","22","1250","1.2","loamy sand","4.9","4","150",,,,,,
,"CL4","10_30",,"35","percent WHC",,,3,,"CO2","34.62_N","81.67_W",,,"NA","NA","NA","Fierer2006","lab",,,"Calhoun Experimental Forest, SC USA","Table1","Fierer2006","https://doi.org/10.1029/2005GB002644","LICOR","mineral","0 to 5","Hordeum sp.",,"15.9","22","1250","1.7","sandy loam","5","1.6","150",,,,,,
,"CM1","10_30",,"35","percent WHC",,,2.7,,"CO2","33.3_N","96.23_W",,,"NA","NA","NA","Fierer2006","lab",,,"Clymer Meadow Preserve, TX USA","Table1","Fierer2006","https://doi.org/10.1029/2005GB002644","LICOR","mineral","0 to 5","Andropogon gerardii, Sorghastrum nutans, Schizachyrium scoparium",,"18.5","25","850","3","silty clay","7.9","1","200",,,,,,
,"CO1","10_30",,"35","percent WHC",,,2.6,,"CO2","40.4_N","105.7_W",,,"NA","NA","NA","Fierer2006","lab",,,"Fort Collins, CO USA","Table1","Fierer2006","https://doi.org/10.1029/2005GB002644","LICOR","mineral","0 to 5","Geum rossii, Primula spp., Silene acaulis, Poa spp.",,"-3","8","600","1.6","sand","6.1","5.5","3800",,,,,,
,"CO2","10_30",,"35","percent WHC",,,2.5,,"CO2","40.58_N","105.33_W",,,"NA","NA","NA","Fierer2006","lab",,,"Fort Collins, CO USA","Table1","Fierer2006","https://doi.org/10.1029/2005GB002644","LICOR","mineral","0 to 5","Pinus contorta",,"6.1","10","350","1.8","sandy loam","5.7","6","2400",,,,,,
,"CO3","10_30",,"35","percent WHC",,,3,,"CO2","40.8_N","104.83_W",,,"NA","NA","NA","Fierer2006","lab",,,"Shortgrass Steppe LTER, CO USA","Table1","Fierer2006","https://doi.org/10.1029/2005GB002644","LICOR","mineral","0 to 5","Bouteloua gracilis, Buchloe dactyloides, Sphaeralcea coccinea",,"9.3","14","322","0.8","sandy loam","6","4","1500",,,,,,
,"CR1","10_30",,"35","percent WHC",,,4.1,,"CO2","33.93_N","97.23_W",,,"NA","NA","NA","Fierer2006","lab",,,"Coffey Ranch, TX USA","Table1","Fierer2006","https://doi.org/10.1029/2005GB002644","LICOR","mineral","0 to 5","Schizachyrium scoparium, Andropogon gerardii, Panicum virgatum",,"18.4","25","850","2.8","loam","8","0.6","250",,,,,,
,"DF1","10_30",,"35","percent WHC",,,2.4,,"CO2","35.97_N","79.08_W",,,"NA","NA","NA","Fierer2006","lab",,,"Duke Forest, NC USA","Table1","Fierer2006","https://doi.org/10.1029/2005GB002644","LICOR","mineral","0 to 5","Pinus taeda, Liquidambar styraciflua, Liriodendron tulipifera, Cornus florida",,"14.6","18","1100","2.8","sandy loam","5.4","5.5","163",,,,,,
,"DF2","10_30",,"35","percent WHC",,,2.7,,"CO2","35.97_N","79.08_W",,,"NA","NA","NA","Fierer2006","lab",,,"Duke Forest, NC USA","Table1","Fierer2006","https://doi.org/10.1029/2005GB002644","LICOR","mineral","0 to 5","Liriodendron tulipifera, Liquidambar styraciflua, Carya sp., Ostrya virginiana",,"14.6","18","1100","5.5","loam","6.8","4.2","163",,,,,,
,"DF3","10_30",,"35","percent WHC",,,2.7,,"CO2","35.97_N","79.08_W",,,"NA","NA","NA","Fierer2006","lab",,,"Duke Forest, NC USA","Table1","Fierer2006","https://doi.org/10.1029/2005GB002644","LICOR","mineral","0 to 5","Quercus alba",,"14.6","27","1100","1.7","loamy sand","5.1","2.1","150",,,,,,
,"GB1","10_30",,"35","percent WHC",,,2.9,,"CO2","39.33_N","111.45_W",,,"NA","NA","NA","Fierer2006","lab",,,"Great Basin Experimental Range, UT USA","Table1","Fierer2006","https://doi.org/10.1029/2005GB002644","LICOR","mineral","0 to 5","Poa spp., Achillea millefolium",,"2","10","400","2.8","clay loam","6.8","1.5","3750",,,,,,
,"GB2","10_30",,"35","percent WHC",,,3.8,,"CO2","39.32_N","111.47_W",,,"NA","NA","NA","Fierer2006","lab",,,"Great Basin Experimental Range, UT USA","Table1","Fierer2006","https://doi.org/10.1029/2005GB002644","LICOR","mineral","0 to 5","Populus tremuloides, Vicia americana, Bromus inermis understory",,"2","13","400","6.9","loam","7.6","0.3","3290",,,,,,
,"GB3","10_30",,"35","percent WHC",,,3,,"CO2","39.32_N","111.48_W",,,"NA","NA","NA","Fierer2006","lab",,,"Great Basin Experimental Range, UT USA","Table1","Fierer2006","https://doi.org/10.1029/2005GB002644","LICOR","mineral","0 to 5","Abies concolor, Picea engelmannii",,"2","13","400","5.7","clay loam","7.2","0.6","3270",,,,,,
,"GB4","10_30",,"35","percent WHC",,,2.9,,"CO2","39.27_N","111.47_W",,,"NA","NA","NA","Fierer2006","lab",,,"Great Basin Experimental Range, UT USA","Table1","Fierer2006","https://doi.org/10.1029/2005GB002644","LICOR","mineral","0 to 5","Penstemon rydbergii, Geranium richardsonii, Achillea millefolium",,"2","10","400","3.6","clay loam","6.9","0.9","3735",,,,,,
,"GB5","10_30",,"35","percent WHC",,,3.2,,"CO2","39.35_N","111.58_W",,,"NA","NA","NA","Fierer2006","lab",,,"Great Basin Experimental Range, UT USA","Table1","Fierer2006","https://doi.org/10.1029/2005GB002644","LICOR","mineral","0 to 5","Juniperus osteosperma, Artemisia tridentata, Bromus tectorum",,"4.8","15","400","1.7","silt loam","8.2","1.9","2160",,,,,,
,"GB6","10_30",,"35","percent WHC",,,2.5,,"CO2","39.33_N","111.45_W",,,"NA","NA","NA","Fierer2006","lab",,,"Great Basin Experimental Range, UT USA","Table1","Fierer2006","https://doi.org/10.1029/2005GB002644","LICOR","mineral","0 to 5","Lupinus perennis, Bromus inermis, Achillea millifolium, Taraxicum officinales",,"2","10","400","2.2","clay","7.2","1.6","3750",,,,,,
,"HF1","10_30",,"35","percent WHC",,,2.8,,"CO2","42.5_N","72.17_W",,,"NA","Forest","NA","Fierer2006","lab",,,"Harvard Forest, MA USA","Table1","Fierer2006","https://doi.org/10.1029/2005GB002644","LICOR","mineral","0 to 5","Quercus rubra, Acer rubrum, Quercus velutina",,"7","15","1100","12.7","sandy loam","4.3","1.4","300",,,,,,
,"HF2","10_30",,"35","percent WHC",,,3.4,,"CO2","42.5_N","72.17_W",,,"NA","Forest","NA","Fierer2006","lab",,,"Harvard Forest, MA USA","Table1","Fierer2006","https://doi.org/10.1029/2005GB002644","LICOR","mineral","0 to 5","Pinus resinosa",,"7","15","1100","9.6","sandy loam","4","1","300",,,,,,
,"HI1","10_30",,"35","percent WHC",,,4,,"CO2","20.08_N","155.7_W",,,"NA","NA","NA","Fierer2006","lab",,,"Kohala Peninsula, HI USA","Table1","Fierer2006","https://doi.org/10.1029/2005GB002644","LICOR","mineral","0 to 5","Pennisetum clandestinum",,"22.8","25","250","1.1","loam","6.5","0.4","200",,,,,,
,"HI2","10_30",,"35","percent WHC",,,3.1,,"CO2","20.08_N","155.7_W",,,"NA","NA","NA","Fierer2006","lab",,,"Kohala Peninsula, HI USA","Table1","Fierer2006","https://doi.org/10.1029/2005GB002644","LICOR","mineral","0 to 5","Pennisetum clandestinum",,"22","25","750","15.8","sandy loam","6.3","0.5","700",,,,,,
,"HI3","10_30",,"35","percent WHC",,,3.6,,"CO2","20.08_N","155.7_W",,,"NA","NA","NA","Fierer2006","lab",,,"Kohala Peninsula, HI USA","Table1","Fierer2006","https://doi.org/10.1029/2005GB002644","LICOR","mineral","0 to 5","Pennisetum clandestinum",,"22","25","1000","18.2","loamy sand","6.5","0.3","1000",,,,,,
,"HI4","10_30",,"35","percent WHC",,,2.9,,"CO2","20.1_N","155.7_W",,,"NA","NA","NA","Fierer2006","lab",,,"Kohala Peninsula, HI USA","Table1","Fierer2006","https://doi.org/10.1029/2005GB002644","LICOR","mineral","0 to 5","Pennisetum clandestinum",,"21.2","25","1500","10.8","loam","4.9","1.1","1500",,,,,,
,"HJ1","10_30",,"35","percent WHC",,,3.1,,"CO2","44.22_N","122.15_W",,,"NA","Forest","NA","Fierer2006","lab",,,"H.J. Andrews Experimental Forest, OR USA","Table1","Fierer2006","https://doi.org/10.1029/2005GB002644","LICOR","mineral","0 to 5","Pseudotsuga menziesii, Tsuga heterophylla, Thuja plicata",,"9.4","17","2000","6.9","sandy loam","5.4","0.5","700",,,,,,
,"HJ2","10_30",,"35","percent WHC",,,3.2,,"CO2","44.22_N","122.15_W",,,"NA","Forest","NA","Fierer2006","lab",,,"H.J. Andrews Experimental Forest, OR USA","Table1","Fierer2006","https://doi.org/10.1029/2005GB002644","LICOR","mineral","0 to 5","Alnus rubra, Rhododendron macrophyllum",,"9.4","17","2000","7.6","sandy loam","5.4","0.4","700",,,,,,
,"IE1","10_30",,"35","percent WHC",,,3,,"CO2","41.8_N","73.75_W",,,"NA","NA","NA","Fierer2006","lab",,,"Institute for Ecosystem Studies, NY USA","Table1","Fierer2006","https://doi.org/10.1029/2005GB002644","LICOR","mineral","0 to 5","Poa pratensis, Galium aparine, Solidago sp.",,"8.6","21","1200","2.7","sandy loam","5.3","2.9","75",,,,,,
,"IE2","10_30",,"35","percent WHC",,,2.6,,"CO2","41.8_N","73.75_W",,,"NA","NA","NA","Fierer2006","lab",,,"Institute for Ecosystem Studies, NY USA","Table1","Fierer2006","https://doi.org/10.1029/2005GB002644","LICOR","mineral","0 to 5","Anthoxanthum odoratum, Coronilla varia, Galium aparine, Schizachyrium scoparium",,"8.6","21","1200","4.1","sandy loam","5.5","3","75",,,,,,
,"IE3","10_30",,"35","percent WHC",,,2.8,,"CO2","41.8_N","73.75_W",,,"NA","NA","NA","Fierer2006","lab",,,"Institute for Ecosystem Studies, NY USA","Table1","Fierer2006","https://doi.org/10.1029/2005GB002644","LICOR","mineral","0 to 5","Galium aparine, Solidago sp., Phleum pratensis, Poa pratensis",,"8.6","21","1200","6.4","sandy loam","5.7","2.1","75",,,,,,
,"IE4","10_30",,"35","percent WHC",,,2.9,,"CO2","41.8_N","73.75_W",,,"NA","NA","NA","Fierer2006","lab",,,"Institute for Ecosystem Studies, NY USA","Table1","Fierer2006","https://doi.org/10.1029/2005GB002644","LICOR","mineral","0 to 5","Dactylis glomerata, Phleum pratensis, Poa pratensis, Anthoxanthum odoratum, Galium aparine",,"8.6","21","1200","3.3","sandy loam","6.3","3","75",,,,,,
,"IE5","10_30",,"35","percent WHC",,,2.9,,"CO2","41.8_N","73.75_W",,,"NA","NA","NA","Fierer2006","lab",,,"Institute for Ecosystem Studies, NY USA","Table1","Fierer2006","https://doi.org/10.1029/2005GB002644","LICOR","mineral","0 to 5","Anthoxanthum odoratum, Datcylis glomerata, Galium aparine, Solidago sp.",,"8.6","21","1200","5.3","sandy loam","5.6","3.8","75",,,,,,
,"IT1","10_30",,"35","percent WHC",,,2.5,,"CO2","47.17_N","95.17_W",,,"NA","NA","NA","Fierer2006","lab",,,"Itasca Lake State Park, MN USA","Table1","Fierer2006","https://doi.org/10.1029/2005GB002644","LICOR","mineral","0 to 5","Acer saccharum, Corylus cornuta, Populus tremuloides",,"3","18","750","6.3","sandy loam","5.8","2","550",,,,,,
,"IT2","10_30",,"35","percent WHC",,,2.8,,"CO2","47.17_N","95.17_W",,,"NA","NA","NA","Fierer2006","lab",,,"Itasca Lake State Park, MN USA","Table1","Fierer2006","https://doi.org/10.1029/2005GB002644","LICOR","mineral","0 to 5","Pinus resinosa",,"3","18","750","3.9","loamy sand","5.4","2.2","550",,,,,,
,"KP1","10_30",,"35","percent WHC",,,2.7,,"CO2","39.1_N","96.6_W",,,"NA","NA","NA","Fierer2006","lab",,,"Konza Prairie LTER, KS USA","Table1","Fierer2006","https://doi.org/10.1029/2005GB002644","LICOR","mineral","0 to 5","Andropogon gerardii, Sorghastrum nutans, Poa pratensis",,"12.5","20","835","6.1","silt loam","6.4","1","100",,,,,,
,"KP2","10_30",,"35","percent WHC",,,2.9,,"CO2","39.1_N","96.6_W",,,"NA","NA","NA","Fierer2006","lab",,,"Konza Prairie LTER, KS USA","Table1","Fierer2006","https://doi.org/10.1029/2005GB002644","LICOR","mineral","0 to 5","Andropogon gerardii, Sorghastrum nutans, Schizachyrium scoparium",,"12.5","20","835","4.6","silt loam","6.5","1","100",,,,,,
,"KP3","10_30",,"35","percent WHC",,,3.9,,"CO2","39.1_N","96.6_W",,,"NA","NA","NA","Fierer2006","lab",,,"Konza Prairie LTER, KS USA","Table1","Fierer2006","https://doi.org/10.1029/2005GB002644","LICOR","mineral","0 to 5","Juniperus virginiana",,"12.5","20","835","6.9","silt loam","7.9","0.2","100",,,,,,
,"LQ1","10_30",,"35","percent WHC",,,3.5,,"CO2","18.3_N","65.83_W",,,"NA","Forest","NA","Fierer2006","lab",,,"Luquillo LTER, Puerto Rico","Table1","Fierer2006","https://doi.org/10.1029/2005GB002644","LICOR","mineral","0 to 5","Tabebuia rigida",,"19.3","25","5000","13.9","silt loam","4.9","0.4","1000",,,,,,
,"LQ2","10_30",,"35","percent WHC",,,3,,"CO2","18.3_N","65.83_W",,,"NA","Forest","NA","Fierer2006","lab",,,"Luquillo LTER, Puerto Rico","Table1","Fierer2006","https://doi.org/10.1029/2005GB002644","LICOR","mineral","0 to 5","Dacryodes excelsa",,"21.5","28","3500","4.1","silty clay loam","5","1.8","400",,,,,,
,"LQ3","10_30",,"35","percent WHC",,,3,,"CO2","18.3_N","65.83_W",,,"NA","Forest","NA","Fierer2006","lab",,,"Luquillo LTER, Puerto Rico","Table1","Fierer2006","https://doi.org/10.1029/2005GB002644","LICOR","mineral","0 to 5","Cyrilla racemiflora",,"20.5","27","4500","6.4","sandy loam","4.7","1.7","700",,,,,,
,"MD1","10_30",,"35","percent WHC",,,2.4,,"CO2","34.9_N","115.6_W",,,"NA","Desert","NA","Fierer2006","lab",,,"Mojave Desert, CA USA","Table1","Fierer2006","https://doi.org/10.1029/2005GB002644","LICOR","mineral","0 to 5","Larrea tridentata, Ambrosia dumosa, Yucca schidigera",,"21","16","150","0.4","sandy loam","7.7","10.2","1171",,,,,,
,"MD2","10_30",,"35","percent WHC",,,2.3,,"CO2","34.9_N","115.65_W",,,"NA","Desert","NA","Fierer2006","lab",,,"Mojave Desert, CA USA","Table1","Fierer2006","https://doi.org/10.1029/2005GB002644","LICOR","mineral","0 to 5","Larrea tridentata, Ambrosia dumosa, Yucca shidigera",,"21","16","150","0.1","loamy sand","7.9","16.3","967",,,,,,
,"MD3","10_30",,"35","percent WHC",,,2.9,,"CO2","35.2_N","115.87_W",,,"NA","Desert","NA","Fierer2006","lab",,,"Mojave Desert, CA USA","Table1","Fierer2006","https://doi.org/10.1029/2005GB002644","LICOR","mineral","0 to 5","Larrea tridentata, Ambrosia dumosa",,"21","16","150","0.6","loamy sand","8.1","11.9","776",,,,,,
,"MP1","10_30",,"35","percent WHC",,,3.1,,"CO2","49.47_N","123.53_W",,,"NA","NA","NA","Fierer2006","lab",,,"Mary's Peak, OR USA","Table1","Fierer2006","https://doi.org/10.1029/2005GB002644","LICOR","mineral","0 to 5","Poa spp., Bromus spp.",,"8.8","17","2200","10.7","sandy loam","4.6","0.4","1300",,,,,,
,"MP2","10_30",,"35","percent WHC",,,3,,"CO2","49.47_N","123.53_W",,,"NA","NA","NA","Fierer2006","lab",,,"Mary's Peak, OR USA","Table1","Fierer2006","https://doi.org/10.1029/2005GB002644","LICOR","mineral","0 to 5","Abies procera",,"8.8","17","2200","9.9","sandy loam","4.4","0.6","1300",,,,,,
,"RT1","10_30",,"35","percent WHC",,,3.9,,"CO2","31.47_N","96.87_W",,,"NA","Grassland","NA","Fierer2006","lab",,,"USDA Grassland Research Center, Riesel, TX USA","Table1","Fierer2006","https://doi.org/10.1029/2005GB002644","LICOR","mineral","0 to 5","Prosopis glandulosa, Gleditsia triacanthos, Ulmus crassifolia",,"18.1","27","840","3.9","silty clay loam","7.9","0.3","50",,,,,,
,"RT2","10_30",,"35","percent WHC",,,4.6,,"CO2","31.47_N","96.87_W",,,"NA","Grassland","NA","Fierer2006","lab",,,"USDA Grassland Research Center, Riesel, TX USA","Table1","Fierer2006","https://doi.org/10.1029/2005GB002644","LICOR","mineral","0 to 5","Andropogon gerardii, Schizachyrium scoparium",,"18.1","27","840","3.8","silty clay loam","8.1","0.2","50",,,,,,
,"SA1","10_30",,"35","percent WHC",,,2.2,,"CO2","35.37_N","111.55_W",,,"NA","NA","NA","Fierer2006","lab",,,"Sunset Crater, AZ USA","Table1","Fierer2006","https://doi.org/10.1029/2005GB002644","LICOR","mineral","0 to 5","Pinus edulis",,"10.3","15","400","2.3","sand","6.9","3","1905",,,,,,
,"SA2","10_30",,"35","percent WHC",,,3.1,,"CO2","35.37_N","111.55_W",,,"NA","NA","NA","Fierer2006","lab",,,"Sunset Crater, AZ USA","Table1","Fierer2006","https://doi.org/10.1029/2005GB002644","LICOR","mineral","0 to 5","Juniperus monosperma",,"10.3","15","400","2.5","sand","8.1","1.4","1905",,,,,,
,"SB1","10_30",,"35","percent WHC",,,3,,"CO2","34.47_N","119.8_W",,,"NA","NA","NA","Fierer2006","lab",,,"Santa Barbara, CA USA","Table1","Fierer2006","https://doi.org/10.1029/2005GB002644","LICOR","mineral","0 to 5","Ceanothus megacarpus, Adenostoma fasciculatum",,"15","15","550","2.7","loam","7.9","2.6","500",,,,,,
,"SN1","10_30",,"35","percent WHC",,,2.5,,"CO2","36.45_N","118.17_W",,,"NA","NA","NA","Fierer2006","lab",,,"Sierra Nevada Mts., CA USA","Table1","Fierer2006","https://doi.org/10.1029/2005GB002644","LICOR","mineral","0 to 5","Pinus jeffreyi, Abies concolor",,"3.6","8","600","4.3","loamy sand","5","2.8","3000",,,,,,
,"SN2","10_30",,"35","percent WHC",,,2.6,,"CO2","36.45_N","118.17_W",,,"NA","NA","NA","Fierer2006","lab",,,"Sierra Nevada Mts., CA USA","Table1","Fierer2006","https://doi.org/10.1029/2005GB002644","LICOR","mineral","0 to 5","Artemisia tridentata, Ceanothus prostratus",,"3.6","8","600","1.7","loamy sand","5.7","4.9","3000",,,,,,
,"SP1","10_30",,"35","percent WHC",,,2.6,,"CO2","36.62_N","118.63_W",,,"NA","NA","NA","Fierer2006","lab",,,"Sequoia National Park, CA USA","Table1","Fierer2006","https://doi.org/10.1029/2005GB002644","LICOR","mineral","0 to 5","Calamagrostis breweri, Carex spp., Salix arctica, Vaccinium caespitosum",,"3.6","9","750","8.1","loamy sand","5.1","0.8","3215",,,,,,
,"SR1","10_30",,"35","percent WHC",,,2.8,,"CO2","34.7_N","120.05_W",,,"NA","NA","NA","Fierer2006","lab",,,"Sedgwick Reserve, CA USA","Table1","Fierer2006","https://doi.org/10.1029/2005GB002644","LICOR","mineral","0 to 5","Quercus douglasii, Bromus spp.",,"17.2","15","500","4.6","loam","6.8","1.4","300",,,,,,
,"SR2","10_30",,"35","percent WHC",,,2.8,,"CO2","34.68_N","120.05_W",,,"NA","NA","NA","Fierer2006","lab",,,"Sedgwick Reserve, CA USA","Table1","Fierer2006","https://doi.org/10.1029/2005GB002644","LICOR","mineral","0 to 5","Bromus spp., Hordeum murinum",,"17.2","15","500","3.3","loam","7","3.3","300",,,,,,
,"SV1","10_30",,"35","percent WHC",,,3.2,,"CO2","34.33_N","106.73_W",,,"NA","NA","NA","Fierer2006","lab",,,"Sevilleta LTER, NM USA","Table1","Fierer2006","https://doi.org/10.1029/2005GB002644","LICOR","mineral","0 to 5","Larrea tridentata",,"13.5","20","210","0.3","sandy loam","8.3","7.2","1480",,,,,,
,"SV2","10_30",,"35","percent WHC",,,2.9,,"CO2","34.33_N","106.73_W",,,"NA","NA","NA","Fierer2006","lab",,,"Sevilleta LTER, NM USA","Table1","Fierer2006","https://doi.org/10.1029/2005GB002644","LICOR","mineral","0 to 5","Bouteloua eriopoda, Bouteloua gracilis",,"13.5","20","210","0.2","loamy sand","8.4","9.2","1480",,,,,,
,"SV3","10_30",,"35","percent WHC",,,3,,"CO2","34.33_N","106.73_W",,,"NA","NA","NA","Fierer2006","lab",,,"Sevilleta LTER, NM USA","Table1","Fierer2006","https://doi.org/10.1029/2005GB002644","LICOR","mineral","0 to 5","Larrea tridentata, Bouteloua eriopoda",,"13.5","20","210","0.3","loamy sand","8.3","8.3","1480",,,,,,
,"SV4","10_30",,"35","percent WHC",,,3.1,,"CO2","34.33_N","106.73_W",,,"NA","NA","NA","Fierer2006","lab",,,"Sevilleta LTER, NM USA","Table1","Fierer2006","https://doi.org/10.1029/2005GB002644","LICOR","mineral","0 to 5","Larrea tridentata, Bouteloua eriopoda",,"13.5","20","210","0.3","loamy sand","8.3","9.3","1480",,,,,,
