ref.id,soil.id,reference,soil,depth,ecosystem,climate,time,tmin,tmax,temp,q10,q10calc,corg,norg,clay,ph,substrate,substrate2
2,5,Arevalo et al. 2012,GRA,0 to 10,grassland,temperate,370,7,14,10.5,2.43,equal-time,,,,,N,
2,5,Arevalo et al. 2012,GRA,0 to 10,grassland,temperate,370,14,21,17.5,1.97,equal-time,,,,,N,
2,6,Arevalo et al. 2012,NAT,0 to 10,forest,temperate,30,7,14,10.5,2.69,equal-time,,,,,N,
2,6,Arevalo et al. 2012,NAT,0 to 10,forest,temperate,30,14,21,17.5,2.69,equal-time,,,,,N,
2,6,Arevalo et al. 2012,NAT,0 to 10,forest,temperate,370,7,14,10.5,1.47,equal-time,,,,,N,
2,6,Arevalo et al. 2012,NAT,0 to 10,forest,temperate,370,14,21,17.5,1.83,equal-time,,,,,N,
3,7,Barrett et al. 2006,AntDry,0 to 10,polar desert,cold,120,5,10,7.5,4.6,equal-time,,,,,N,
3,7,Barrett et al. 2006,AntDry,0 to 10,polar desert,cold,120,10,20,15,1.6,equal-time,,,,,N,
4,8,Bekku et al. 2003,Bekku_Arctic,,tundra,cold,7,2,20,11,3.4,sequential,15,0.8,,,N,
4,8,Bekku et al. 2003,Bekku_Arctic,,tundra,cold,24,2,20,11,3.1,sequential,15,0.8,,,N,
4,8,Bekku et al. 2003,Bekku_Arctic,,tundra,cold,24,2,20,11,3.2,sequential,15,0.8,,,N,
4,8,Bekku et al. 2003,Bekku_Arctic,,tundra,cold,24,2,20,11,2.9,sequential,15,0.8,,,N,
4,9,Bekku et al. 2003,Bekku_Temperate,,grassland,temperate,7,2,20,11,2.9,sequential,7.5,0.5,,,N,
4,9,Bekku et al. 2003,Bekku_Temperate,,grassland,temperate,24,2,20,11,2.8,sequential,7.5,0.5,,,N,
4,9,Bekku et al. 2003,Bekku_Temperate,,grassland,temperate,24,2,24,13,2.5,sequential,7.5,0.5,,,N,
4,9,Bekku et al. 2003,Bekku_Temperate,,grassland,temperate,24,12,28,20,2,sequential,7.5,0.5,,,N,
4,10,Bekku et al. 2003,Bekku_Tropical,,forest,warm,24,5,24,14.5,2.7,sequential,2.5,0.2,,,N,
4,10,Bekku et al. 2003,Bekku_Tropical,,forest,warm,7,16,32,24,2.1,sequential,2.5,0.2,,,N,
4,10,Bekku et al. 2003,Bekku_Tropical,,forest,warm,24,16,32,24,2.1,sequential,2.5,0.2,,,N,
4,10,Bekku et al. 2003,Bekku_Tropical,,forest,warm,24,24,40,32,2.1,sequential,2.5,0.2,,,N,
5,11,Bradford et al. 2010,Brad,0 to 10,forest,temperate,2,10,20,15,2.56,equal-time,,,,,N,
6,11,Bradford et al. 2011,Brad,0 to 10,forest,temperate,2,20,30,25,2.93,equal-time,,,,,N,
7,12,Chapman and Thurlow 1998,Bad1,0 to 20,peat,temperate,0,1,13,7,6.2,sequential,,,,3.3,N,
7,12,Chapman and Thurlow 1998,Bad1,0 to 20,peat,temperate,0,5,30,17.5,3.4,equal-time,,,,3.3,N,
7,13,Chapman and Thurlow 1998,Bad2,0 to 20,peat,temperate,0,1,13,7,2.2,sequential,,,,3.1,N,
7,13,Chapman and Thurlow 1998,Bad2,0 to 20,peat,temperate,0,5,30,17.5,3.8,equal-time,,,,3.1,N,
7,14,Chapman and Thurlow 1998,Burr,0 to 20,peat,temperate,0,5,11,8,19,sequential,,,,3.54,N,
7,14,Chapman and Thurlow 1998,Burr,0 to 20,peat,temperate,0,1,5,3,85,sequential,,,,3.54,N,
7,14,Chapman and Thurlow 1998,Burr,0 to 20,peat,temperate,0,5,30,17.5,6.4,equal-time,,,,3.54,N,
7,15,Chapman and Thurlow 1998,Clov,0 to 20,peat,temperate,0,1,20,10.5,3.7,sequential,,,,2.73,N,
7,16,Chapman and Thurlow 1998,Glen1,0 to 20,peat,temperate,0,1,13,7,3.9,sequential,,,,2.62,N,
7,17,Chapman and Thurlow 1998,Glen2,0 to 20,peat,temperate,0,1,13,7,2.9,sequential,,,,2.73,N,
7,18,Chapman and Thurlow 1998,Glen3,0 to 20,peat,temperate,0,5,30,17.5,2.3,equal-time,,,,3.08,N,
7,18,Chapman and Thurlow 1998,Glen3,0 to 20,peat,temperate,0,1,5,3,146,equal-time,,,,3.08,N,
7,19,Chapman and Thurlow 1998,Glen4,0 to 20,peat,temperate,0,5,30,17.5,2.1,equal-time,,,,4.39,N,
7,20,Chapman and Thurlow 1998,Herm,0 to 20,peat,temperate,0,5,11,8,9,sequential,,,,3.65,N,
7,20,Chapman and Thurlow 1998,Herm,0 to 20,peat,temperate,0,1,5,3,52,sequential,,,,3.65,N,
7,20,Chapman and Thurlow 1998,Herm,0 to 20,peat,temperate,0,5,30,17.5,4.6,equal-time,,,,3.65,N,
7,21,Chapman and Thurlow 1998,Loch1,0 to 20,peat,temperate,0,1,13,7,2.5,sequential,,,,2.95,N,
7,21,Chapman and Thurlow 1998,Loch1,0 to 20,peat,temperate,0,5,30,17.5,1.9,equal-time,,,,2.95,N,
7,22,Chapman and Thurlow 1998,Loch2,0 to 20,peat,temperate,0,1,13,7,2.7,sequential,,,,3.03,N,
7,22,Chapman and Thurlow 1998,Loch2,0 to 20,peat,temperate,0,5,30,17.5,2.5,equal-time,,,,3.03,N,
7,23,Chapman and Thurlow 1998,Rea,0 to 20,peat,temperate,0,5,11,8,14,sequential,,,,,N,
7,23,Chapman and Thurlow 1998,Rea,0 to 20,peat,temperate,0,1,5,3,49,sequential,,,,,N,
7,23,Chapman and Thurlow 1998,Rea,0 to 20,peat,temperate,0,5,30,17.5,3.8,equal-time,,,,,N,
7,24,Chapman and Thurlow 1998,Sken,0 to 20,peat,temperate,0,5,20,12.5,2.5,sequential,,,,3.3,N,
7,24,Chapman and Thurlow 1998,Sken,0 to 20,peat,temperate,0,1,5,3,12,sequential,,,,3.3,N,
7,25,Chapman and Thurlow 1998,Tonb,0 to 20,peat,temperate,0,1,20,10.5,3.3,sequential,,,,2.89,N,
7,26,Chapman and Thurlow 1998,Voe,0 to 20,peat,temperate,0,5,11,8,8.1,sequential,,,,3.22,N,
7,26,Chapman and Thurlow 1998,Voe,0 to 20,peat,temperate,0,5,30,17.5,3.2,equal-time,,,,3.22,N,
8,27,Chen et al. 2010,Chen-FJ,,forest,warm,23,10,30,20,2.93,sequential,3.34,,,,N,
8,28,Chen et al. 2010,Chen-GS,,grassland,temperate,23,10,30,20,2.22,sequential,9.9,,,,N,
8,29,Chen et al. 2010,Chen-HN,,forest,warm,23,10,30,20,3.09,sequential,0.74,,,,N,
8,30,Chen et al. 2010,Chen-IM,,grassland,temperate,23,10,30,20,3.55,sequential,0.95,,,,N,
8,31,Chen et al. 2010,Chen-JL,,forest,temperate,23,10,30,20,2,sequential,7.69,,,,N,
8,32,Chen et al. 2010,Chen-SX,,cultivated,temperate,23,10,30,20,2.37,sequential,0.47,,,,N,
9,33,Conant et al. 2008a,Champ-cultivated,,cultivated,,,19,28,23.5,2.2,equal-C,1.8,,,,N,
9,34,Conant et al. 2008a,Champ-grassland,,grassland,,,19,28,23.5,1.2,equal-C,3.8,,,,N,
9,35,Conant et al. 2008a,CO-cultivated,,cultivated,,,25,35,30,3.1,equal-C,0.7,,,,N,
9,36,Conant et al. 2008a,CO-grassland,,grassland,,,25,35,30,1.7,equal-C,1.2,,,,N,
9,37,Conant et al. 2008a,Duke-forest,,forest,,,22,38,30,1.7,equal-C,1,,,,N,
9,38,Conant et al. 2008a,Hari-grassland,,grassland,,,20,24,22,2.9,equal-C,2.5,,,,N,
9,39,Conant et al. 2008a,Taw-grassland,,grassland,,,20,24,22,3,equal-C,4.6,,,,N,
9,40,Conant et al. 2008a,TE-cultivated,,cultivated,,,25,35,30,1.8,equal-C,1,,,,N,
9,41,Conant et al. 2008a,TE-grassland,,grassland,,,25,35,30,1.9,equal-C,1.1,,,,N,
9,42,Conant et al. 2008a,Tima-grassland,,grassland,,,20,24,22,3,equal-C,3.7,,,,N,
10,43,Conant et al. 2008b,ND-cultivated,,cultivated,temperate,60,4,15,9.5,5,equal-time,2.8,,34.3,,N,
10,43,Conant et al. 2008b,ND-cultivated,,cultivated,temperate,150,4,15,9.5,3,equal-time,2.8,,34.3,,N,
10,43,Conant et al. 2008b,ND-cultivated,,cultivated,temperate,300,4,15,9.5,7.6,equal-time,2.8,,34.3,,N,
10,43,Conant et al. 2008b,ND-cultivated,,cultivated,temperate,450,4,15,9.5,7.4,equal-time,2.8,,34.3,,N,
10,43,Conant et al. 2008b,ND-cultivated,,cultivated,temperate,60,15,25,20,3,equal-time,2.8,,34.3,,N,
10,43,Conant et al. 2008b,ND-cultivated,,cultivated,temperate,150,15,25,20,2,equal-time,2.8,,34.3,,N,
10,43,Conant et al. 2008b,ND-cultivated,,cultivated,temperate,300,15,25,20,2.6,equal-time,2.8,,34.3,,N,
10,43,Conant et al. 2008b,ND-cultivated,,cultivated,temperate,450,15,25,20,2.5,equal-time,2.8,,34.3,,N,
10,43,Conant et al. 2008b,ND-cultivated,,cultivated,temperate,60,25,35,30,1.6,equal-time,2.8,,34.3,,N,
10,43,Conant et al. 2008b,ND-cultivated,,cultivated,temperate,150,25,35,30,2,equal-time,2.8,,34.3,,N,
10,43,Conant et al. 2008b,ND-cultivated,,cultivated,temperate,300,25,35,30,2,equal-time,2.8,,34.3,,N,
10,43,Conant et al. 2008b,ND-cultivated,,cultivated,temperate,450,25,35,30,2.8,equal-time,2.8,,34.3,,N,
10,44,Conant et al. 2008b,ND-grassland,,grassland,temperate,60,4,15,9.5,7,equal-time,3.24,,29.7,,N,
10,44,Conant et al. 2008b,ND-grassland,,grassland,temperate,150,4,15,9.5,2.6,equal-time,3.24,,29.7,,N,
10,44,Conant et al. 2008b,ND-grassland,,grassland,temperate,300,4,15,9.5,4.4,equal-time,3.24,,29.7,,N,
10,44,Conant et al. 2008b,ND-grassland,,grassland,temperate,450,4,15,9.5,8.6,equal-time,3.24,,29.7,,N,
10,44,Conant et al. 2008b,ND-grassland,,grassland,temperate,60,15,25,20,2.6,equal-time,3.24,,29.7,,N,
10,44,Conant et al. 2008b,ND-grassland,,grassland,temperate,150,15,25,20,2.2,equal-time,3.24,,29.7,,N,
10,44,Conant et al. 2008b,ND-grassland,,grassland,temperate,300,15,25,20,3.4,equal-time,3.24,,29.7,,N,
10,44,Conant et al. 2008b,ND-grassland,,grassland,temperate,450,15,25,20,4.4,equal-time,3.24,,29.7,,N,
10,44,Conant et al. 2008b,ND-grassland,,grassland,temperate,60,25,35,30,1.6,equal-time,3.24,,29.7,,N,
10,44,Conant et al. 2008b,ND-grassland,,grassland,temperate,150,25,35,30,3,equal-time,3.24,,29.7,,N,
10,44,Conant et al. 2008b,ND-grassland,,grassland,temperate,300,25,35,30,2.8,equal-time,3.24,,29.7,,N,
10,44,Conant et al. 2008b,ND-grassland,,grassland,temperate,450,25,35,30,2.2,equal-time,3.24,,29.7,,N,
10,45,Conant et al. 2008b,TX-cultivated,,cultivated,warm,60,4,15,9.5,8.5,equal-time,1.02,,42.3,,N,
10,45,Conant et al. 2008b,TX-cultivated,,cultivated,warm,150,4,15,9.5,3,equal-time,1.02,,42.3,,N,
10,45,Conant et al. 2008b,TX-cultivated,,cultivated,warm,300,4,15,9.5,8.25,equal-time,1.02,,42.3,,N,
10,45,Conant et al. 2008b,TX-cultivated,,cultivated,warm,450,4,15,9.5,9.5,equal-time,1.02,,42.3,,N,
10,45,Conant et al. 2008b,TX-cultivated,,cultivated,warm,60,15,25,20,3.25,equal-time,1.02,,42.3,,N,
10,45,Conant et al. 2008b,TX-cultivated,,cultivated,warm,150,15,25,20,2.5,equal-time,1.02,,42.3,,N,
10,45,Conant et al. 2008b,TX-cultivated,,cultivated,warm,300,15,25,20,3.5,equal-time,1.02,,42.3,,N,
10,45,Conant et al. 2008b,TX-cultivated,,cultivated,warm,450,15,25,20,4.25,equal-time,1.02,,42.3,,N,
10,45,Conant et al. 2008b,TX-cultivated,,cultivated,warm,60,25,35,30,2.25,equal-time,1.02,,42.3,,N,
10,45,Conant et al. 2008b,TX-cultivated,,cultivated,warm,150,25,35,30,3.5,equal-time,1.02,,42.3,,N,
10,45,Conant et al. 2008b,TX-cultivated,,cultivated,warm,300,25,35,30,4,equal-time,1.02,,42.3,,N,
10,45,Conant et al. 2008b,TX-cultivated,,cultivated,warm,450,25,35,30,3.5,equal-time,1.02,,42.3,,N,
10,46,Conant et al. 2008b,TX-grassland,,grassland,warm,60,4,15,9.5,7.75,equal-time,1.12,,30.9,,N,
10,46,Conant et al. 2008b,TX-grassland,,grassland,warm,150,4,15,9.5,2.75,equal-time,1.12,,30.9,,N,
10,46,Conant et al. 2008b,TX-grassland,,grassland,warm,300,4,15,9.5,5,equal-time,1.12,,30.9,,N,
10,46,Conant et al. 2008b,TX-grassland,,grassland,warm,450,4,15,9.5,9.75,equal-time,1.12,,30.9,,N,
10,46,Conant et al. 2008b,TX-grassland,,grassland,warm,60,15,25,20,2.75,equal-time,1.12,,30.9,,N,
10,46,Conant et al. 2008b,TX-grassland,,grassland,warm,150,15,25,20,2.25,equal-time,1.12,,30.9,,N,
10,46,Conant et al. 2008b,TX-grassland,,grassland,warm,300,15,25,20,3,equal-time,1.12,,30.9,,N,
10,46,Conant et al. 2008b,TX-grassland,,grassland,warm,450,15,25,20,3.25,equal-time,1.12,,30.9,,N,
10,46,Conant et al. 2008b,TX-grassland,,grassland,warm,60,25,35,30,2.25,equal-time,1.12,,30.9,,N,
10,46,Conant et al. 2008b,TX-grassland,,grassland,warm,150,25,35,30,3,equal-time,1.12,,30.9,,N,
10,46,Conant et al. 2008b,TX-grassland,,grassland,warm,300,25,35,30,3,equal-time,1.12,,30.9,,N,
10,46,Conant et al. 2008b,TX-grassland,,grassland,warm,450,25,35,30,3.75,equal-time,1.12,,30.9,,N,
11,47,Conen et al. 2006,HL-C3,0 to 30,cultivated,temperate,10,5,35,20,3.2,equal-time,1.1,,8,,N,
11,48,Conen et al. 2006,HL-C4,0 to 30,cultivated,temperate,10,5,35,20,3.2,equal-time,1.12,,8,,N,
11,49,Conen et al. 2006,RM-C3,0 to 30,cultivated,temperate,10,5,35,20,3.7,equal-time,1.27,,17,,N,
11,50,Conen et al. 2006,RM-C4,0 to 30,cultivated,temperate,10,5,35,20,4.8,equal-time,1.37,,17,,N,
12,51,Conen et al. 2008,Basel-C,,cultivated,temperate,11.29166667,5,35,20,3.3,equal-time,9.2,,,,N,
12,52,Conen et al. 2008,Basel-M,,cultivated,temperate,9.958333333,5,35,20,2.9,equal-time,13.3,,,,N,
13,53,Cross and Grace 2010,Fresh,5 to 15,forest,temperate,24,5,10,7.5,2.420230834,sequential,39.1,1.9,,,N,
13,53,Cross and Grace 2010,Fresh,5 to 15,forest,temperate,24,10,16,13,2.345272826,sequential,39.1,1.9,,,N,
13,53,Cross and Grace 2010,Fresh,5 to 15,forest,temperate,24,16,22,19,2.486344278,sequential,39.1,1.9,,,N,
13,53,Cross and Grace 2010,Fresh,5 to 15,forest,temperate,24,22,30,26,2.299210241,sequential,39.1,1.9,,,N,
13,53,Cross and Grace 2010,Fresh,5 to 15,forest,temperate,78,5,10,7.5,2.660420407,sequential,39.1,1.9,,,N,
13,53,Cross and Grace 2010,Fresh,5 to 15,forest,temperate,78,10,16,13,2.426942201,sequential,39.1,1.9,,,N,
13,53,Cross and Grace 2010,Fresh,5 to 15,forest,temperate,78,16,22,19,2.684881883,sequential,39.1,1.9,,,N,
13,53,Cross and Grace 2010,Fresh,5 to 15,forest,temperate,78,22,30,26,3.069487171,sequential,39.1,1.9,,,N,
13,54,Cross and Grace 2010,Old,20 to 30,forest,temperate,24,5,10,7.5,1.21335684,sequential,21.7,0.7,,,N,
13,54,Cross and Grace 2010,Old,20 to 30,forest,temperate,24,10,16,13,1.864608643,sequential,21.7,0.7,,,N,
13,54,Cross and Grace 2010,Old,20 to 30,forest,temperate,24,16,22,19,2.102915718,sequential,21.7,0.7,,,N,
13,54,Cross and Grace 2010,Old,20 to 30,forest,temperate,24,22,30,26,2.517178102,sequential,21.7,0.7,,,N,
13,54,Cross and Grace 2010,Old,20 to 30,forest,temperate,78,5,10,7.5,2.388961431,sequential,21.7,0.7,,,N,
13,54,Cross and Grace 2010,Old,20 to 30,forest,temperate,78,10,16,13,2.696331549,sequential,21.7,0.7,,,N,
13,54,Cross and Grace 2010,Old,20 to 30,forest,temperate,78,16,22,19,2.316255757,sequential,21.7,0.7,,,N,
13,54,Cross and Grace 2010,Old,20 to 30,forest,temperate,78,22,30,26,2.684269384,sequential,21.7,0.7,,,N,
14,55,Curiel Yuste et al. 2007,yuste-bc,,forest,temperate,50,20,35,27.5,1.7,sequential,13.9,,,,N,
14,55,Curiel Yuste et al. 2007,yuste-bc,,forest,temperate,100,20,35,27.5,1.5,sequential,13.9,,,,N,
14,56,Curiel Yuste et al. 2007,yuste-bt,,forest,temperate,50,20,35,27.5,1.7,sequential,6.4,,,,N,
14,56,Curiel Yuste et al. 2007,yuste-bt,,forest,temperate,100,20,35,27.5,1.6,sequential,6.4,,,,N,
14,57,Curiel Yuste et al. 2007,yuste-to,,grassland,temperate,50,20,35,27.5,2,sequential,1.7,,,,N,
14,57,Curiel Yuste et al. 2007,yuste-to,,grassland,temperate,100,20,35,27.5,1.5,sequential,1.7,,,,N,
14,58,Curiel Yuste et al. 2007,yuste-tu,,grassland,temperate,50,20,35,27.5,1.9,sequential,3.9,,,,N,
14,58,Curiel Yuste et al. 2007,yuste-tu,,grassland,temperate,100,20,35,27.5,1.5,sequential,3.9,,,,N,
15,59,Cussack et al. 2010,Lower-C,0 to 10,forest,warm,32.24324,21,31,26,1.75283,equal-time,3.7,0.27,,4,N,
15,59,Cussack et al. 2010,Lower-C,0 to 10,forest,warm,35.62162,21,31,26,1.42075,equal-time,3.7,0.27,,4,N,
15,59,Cussack et al. 2010,Lower-C,0 to 10,forest,warm,41.7027,21,31,26,1.49623,equal-time,3.7,0.27,,4,N,
15,59,Cussack et al. 2010,Lower-C,0 to 10,forest,warm,47.78378,21,31,26,1.56415,equal-time,3.7,0.27,,4,N,
15,59,Cussack et al. 2010,Lower-C,0 to 10,forest,warm,55.21622,21,31,26,1.28491,equal-time,3.7,0.27,,4,N,
15,59,Cussack et al. 2010,Lower-C,0 to 10,forest,warm,69.40541,21,31,26,1.48868,equal-time,3.7,0.27,,4,N,
15,59,Cussack et al. 2010,Lower-C,0 to 10,forest,warm,89,21,31,26,1.38302,equal-time,3.7,0.27,,4,N,
15,59,Cussack et al. 2010,Lower-C,0 to 10,forest,warm,111.29729,21,31,26,1.48113,equal-time,3.7,0.27,,4,N,
15,59,Cussack et al. 2010,Lower-C,0 to 10,forest,warm,139,21,31,26,1.48868,equal-time,3.7,0.27,,4,N,
15,59,Cussack et al. 2010,Lower-C,0 to 10,forest,warm,166.02702,21,31,26,1.48868,equal-time,3.7,0.27,,4,N,
15,59,Cussack et al. 2010,Lower-C,0 to 10,forest,warm,178.18919,21,31,26,1.54151,equal-time,3.7,0.27,,4,N,
15,59,Cussack et al. 2010,Lower-C,0 to 10,forest,warm,194.40541,21,31,26,1.22453,equal-time,3.7,0.27,,4,N,
15,59,Cussack et al. 2010,Lower-C,0 to 10,forest,warm,222.78378,21,31,26,1.36792,equal-time,3.7,0.27,,4,N,
15,59,Cussack et al. 2010,Lower-C,0 to 10,forest,warm,243.05405,21,31,26,1.4283,equal-time,3.7,0.27,,4,N,
15,59,Cussack et al. 2010,Lower-C,0 to 10,forest,warm,257.91891,21,31,26,1.1717,equal-time,3.7,0.27,,4,N,
15,59,Cussack et al. 2010,Lower-C,0 to 10,forest,warm,,21,31,26,1.5,equal-C,3.7,0.27,,4,N,
15,59,Cussack et al. 2010,Lower-C,0 to 10,forest,warm,,21,31,26,1.5,equal-C,3.7,0.27,,4,N,
15,59,Cussack et al. 2010,Lower-C,0 to 10,forest,warm,,21,31,26,1.51515,equal-C,3.7,0.27,,4,N,
15,59,Cussack et al. 2010,Lower-C,0 to 10,forest,warm,,21,31,26,1.52273,equal-C,3.7,0.27,,4,N,
15,59,Cussack et al. 2010,Lower-C,0 to 10,forest,warm,,21,31,26,1.32576,equal-C,3.7,0.27,,4,N,
15,59,Cussack et al. 2010,Lower-C,0 to 10,forest,warm,,21,31,26,1.32576,equal-C,3.7,0.27,,4,N,
15,60,Cussack et al. 2010,Lower-N,0 to 10,forest,warm,32.24324,21,31,26,1.69245,equal-time,4.2,0.33,,4.1,Y,nitrogen
15,60,Cussack et al. 2010,Lower-N,0 to 10,forest,warm,35.62162,21,31,26,1.40566,equal-time,4.2,0.33,,4.1,Y,nitrogen
15,60,Cussack et al. 2010,Lower-N,0 to 10,forest,warm,41.7027,21,31,26,1.50377,equal-time,4.2,0.33,,4.1,Y,nitrogen
15,60,Cussack et al. 2010,Lower-N,0 to 10,forest,warm,47.78378,21,31,26,1.5717,equal-time,4.2,0.33,,4.1,Y,nitrogen
15,60,Cussack et al. 2010,Lower-N,0 to 10,forest,warm,55.89189,21,31,26,1.22453,equal-time,4.2,0.33,,4.1,Y,nitrogen
15,60,Cussack et al. 2010,Lower-N,0 to 10,forest,warm,69.40541,21,31,26,1.39057,equal-time,4.2,0.33,,4.1,Y,nitrogen
15,60,Cussack et al. 2010,Lower-N,0 to 10,forest,warm,88.32433,21,31,26,1.32264,equal-time,4.2,0.33,,4.1,Y,nitrogen
15,60,Cussack et al. 2010,Lower-N,0 to 10,forest,warm,110.62162,21,31,26,1.22453,equal-time,4.2,0.33,,4.1,Y,nitrogen
15,60,Cussack et al. 2010,Lower-N,0 to 10,forest,warm,139,21,31,26,0.94528,equal-time,4.2,0.33,,4.1,Y,nitrogen
15,60,Cussack et al. 2010,Lower-N,0 to 10,forest,warm,166.7027,21,31,26,1.18679,equal-time,4.2,0.33,,4.1,Y,nitrogen
15,60,Cussack et al. 2010,Lower-N,0 to 10,forest,warm,178.86487,21,31,26,1.26981,equal-time,4.2,0.33,,4.1,Y,nitrogen
15,60,Cussack et al. 2010,Lower-N,0 to 10,forest,warm,194.40541,21,31,26,0.88491,equal-time,4.2,0.33,,4.1,Y,nitrogen
15,60,Cussack et al. 2010,Lower-N,0 to 10,forest,warm,222.10811,21,31,26,1.03585,equal-time,4.2,0.33,,4.1,Y,nitrogen
15,60,Cussack et al. 2010,Lower-N,0 to 10,forest,warm,242.37837,21,31,26,1.00566,equal-time,4.2,0.33,,4.1,Y,nitrogen
15,60,Cussack et al. 2010,Lower-N,0 to 10,forest,warm,257.91891,21,31,26,1.0434,equal-time,4.2,0.33,,4.1,Y,nitrogen
15,60,Cussack et al. 2010,Lower-N,0 to 10,forest,warm,,21,31,26,1.55303,equal-C,4.2,0.33,,4.1,Y,nitrogen
15,60,Cussack et al. 2010,Lower-N,0 to 10,forest,warm,,21,31,26,1.53788,equal-C,4.2,0.33,,4.1,Y,nitrogen
15,60,Cussack et al. 2010,Lower-N,0 to 10,forest,warm,,21,31,26,1.43182,equal-C,4.2,0.33,,4.1,Y,nitrogen
15,60,Cussack et al. 2010,Lower-N,0 to 10,forest,warm,,21,31,26,1.30303,equal-C,4.2,0.33,,4.1,Y,nitrogen
15,60,Cussack et al. 2010,Lower-N,0 to 10,forest,warm,,21,31,26,0.969697,equal-C,4.2,0.33,,4.1,Y,nitrogen
15,60,Cussack et al. 2010,Lower-N,0 to 10,forest,warm,,21,31,26,0.94697,equal-C,4.2,0.33,,4.1,Y,nitrogen
15,61,Cussack et al. 2010,Upper-C,0 to 10,forest,warm,31.1785,21,31,26,1.73361,equal-time,3.5,0.18,,4.1,N,
15,61,Cussack et al. 2010,Upper-C,0 to 10,forest,warm,35.8936,21,31,26,1.68864,equal-time,3.5,0.18,,4.1,N,
15,61,Cussack et al. 2010,Upper-C,0 to 10,forest,warm,42.5707,21,31,26,1.86929,equal-time,3.5,0.18,,4.1,N,
15,61,Cussack et al. 2010,Upper-C,0 to 10,forest,warm,48.5666,21,31,26,2.08752,equal-time,3.5,0.18,,4.1,N,
15,61,Cussack et al. 2010,Upper-C,0 to 10,forest,warm,55.3629,21,31,26,1.77193,equal-time,3.5,0.18,,4.1,N,
15,61,Cussack et al. 2010,Upper-C,0 to 10,forest,warm,68.7621,21,31,26,1.94527,equal-time,3.5,0.18,,4.1,N,
15,61,Cussack et al. 2010,Upper-C,0 to 10,forest,warm,88.2512,21,31,26,1.94585,equal-time,3.5,0.18,,4.1,N,
15,61,Cussack et al. 2010,Upper-C,0 to 10,forest,warm,110.517,21,31,26,1.5781,equal-time,3.5,0.18,,4.1,N,
15,61,Cussack et al. 2010,Upper-C,0 to 10,forest,warm,138.777,21,31,26,1.43609,equal-time,3.5,0.18,,4.1,N,
15,61,Cussack et al. 2010,Upper-C,0 to 10,forest,warm,166.244,21,31,26,1.79782,equal-time,3.5,0.18,,4.1,N,
15,61,Cussack et al. 2010,Upper-C,0 to 10,forest,warm,178.384,21,31,26,1.61773,equal-time,3.5,0.18,,4.1,N,
15,61,Cussack et al. 2010,Upper-C,0 to 10,forest,warm,193.935,21,31,26,1.22722,equal-time,3.5,0.18,,4.1,N,
15,61,Cussack et al. 2010,Upper-C,0 to 10,forest,warm,221.461,21,31,26,1.34083,equal-time,3.5,0.18,,4.1,N,
15,61,Cussack et al. 2010,Upper-C,0 to 10,forest,warm,241.628,21,31,26,1.31888,equal-time,3.5,0.18,,4.1,N,
15,61,Cussack et al. 2010,Upper-C,0 to 10,forest,warm,257.075,21,31,26,1.35694,equal-time,3.5,0.18,,4.1,N,
15,61,Cussack et al. 2010,Upper-C,0 to 10,forest,warm,,21,31,26,1.6652,equal-C,3.5,0.18,,4.1,N,
